ts_micro,frame,btn,speed
1562551953819,1,107,50
1562551953846,2,107,50
1562551953872,3,107,50
1562551953900,4,107,50
1562551953921,5,107,50
1562551953944,6,107,50
1562551953969,7,107,50
1562551953994,8,107,50
1562551954019,9,107,50
1562551954045,10,107,50
1562551954069,11,107,50
1562551954094,12,107,50
1562551954119,13,107,50
1562551954144,14,107,50
1562551954169,15,107,50
1562551954195,16,107,50
1562551954219,17,107,50
1562551954244,18,107,50
1562551954269,19,107,50
1562551954294,20,107,50
1562551954319,21,107,50
1562551954344,22,107,50
1562551954369,23,107,50
1562551954394,24,107,50
1562551954419,25,107,50
1562551954445,26,107,50
1562551954469,27,107,50
1562551954494,28,107,50
1562551954519,29,107,50
1562551954544,30,107,50
1562551954569,31,107,50
1562551954594,32,107,50
1562551954619,33,107,50
1562551954660,34,107,50
1562551954704,35,107,50
1562551954729,36,107,50
1562551954760,37,107,50
1562551954808,38,107,50
1562551954838,39,107,50
1562551954886,40,107,50
1562551954920,41,107,50
1562551954967,42,107,50
1562551955000,43,107,50
1562551955032,44,107,50
1562551955080,45,107,50
1562551955112,46,107,50
1562551955160,47,107,50
1562551955194,48,107,50
1562551955239,49,107,50
1562551955272,50,107,50
1562551955318,51,107,50
1562551955353,52,107,50
1562551955389,53,107,50
1562551955437,54,107,50
1562551955476,55,107,50
1562551955527,56,107,50
1562551955548,57,107,50
1562551955591,58,107,50
1562551955624,59,107,50
1562551955656,60,107,50
1562551955703,61,107,50
1562551955737,62,107,50
1562551955788,63,107,50
1562551955820,64,107,50
1562551955864,65,107,50
1562551955896,66,107,50
1562551955929,67,107,50
1562551955979,68,107,50
1562551956009,69,107,50
1562551956055,70,107,50
1562551956088,71,107,50
1562551956136,72,107,50
1562551956169,73,107,50
1562551956200,74,107,50
1562551956257,75,107,50
1562551956293,76,107,50
1562551956341,77,107,50
1562551956363,78,107,50
1562551956411,79,107,50
1562551956444,80,107,50
1562551956487,81,107,50
1562551956523,82,107,50
1562551956555,83,107,50
1562551956600,84,107,50
1562551956633,85,107,50
1562551956680,86,107,50
1562551956718,87,107,50
1562551956760,88,107,50
1562551956794,89,107,50
1562551956826,90,107,50
1562551956875,91,107,50
1562551956905,92,107,50
1562551956954,93,107,50
1562551956990,94,107,50
1562551957033,95,107,50
1562551957084,96,107,50
1562551957115,97,107,50
1562551957153,98,107,50
1562551957184,99,107,50
1562551957226,100,107,50
1562551957260,101,107,50
1562551957305,102,107,50
1562551957337,103,107,50
1562551957370,104,107,50
1562551957425,105,107,50
1562551957455,106,107,50
1562551957497,107,107,50
1562551957531,108,107,50
1562551957579,109,107,50
1562551957607,110,107,50
1562551957639,111,107,50
1562551957689,112,107,50
1562551957726,113,107,50
1562551957768,114,107,50
1562551957802,115,107,50
1562551957854,116,107,50
1562551957897,117,107,50
1562551957934,118,107,50
1562551957965,119,107,50
1562551957995,120,107,50
1562551958042,121,107,50
1562551958073,122,107,50
1562551958120,123,107,50
1562551958159,124,107,50
1562551958192,125,107,50
1562551958239,126,107,50
1562551958271,127,107,50
1562551958315,128,107,50
1562551958349,129,107,50
1562551958398,130,107,50
1562551958429,131,107,50
1562551958461,132,107,50
1562551958510,133,107,50
1562551958540,134,107,50
1562551958592,135,107,50
1562551958621,136,107,50
1562551958687,137,107,50
1562551958719,138,107,50
1562551958762,139,107,50
1562551958781,140,107,50
1562551958814,141,107,50
1562551958860,142,107,50
1562551958893,143,107,50
1562551958939,144,107,50
1562551958971,145,107,50
1562551959017,146,107,50
1562551959054,147,107,50
1562551959085,148,107,50
1562551959132,149,107,50
1562551959165,150,107,50
1562551959214,151,107,50
1562551959246,152,107,50
1562551959292,153,107,50
1562551959324,154,107,50
1562551959357,155,107,50
1562551959404,156,107,50
1562551959439,157,107,50
1562551959493,158,107,50
1562551959534,159,107,50
1562551959575,160,107,50
1562551959598,161,107,50
1562551959630,162,107,50
1562551959678,163,107,50
1562551959710,164,107,50
1562551959757,165,107,50
1562551959788,166,107,50
1562551959836,167,107,50
1562551959871,168,107,50
1562551959900,169,107,50
1562551959946,170,107,50
1562551959982,171,107,50
1562551960028,172,107,50
1562551960059,173,107,50
1562551960109,174,107,50
1562551960142,175,107,50
1562551960174,176,107,50
1562551960217,177,107,50
1562551960255,178,107,50
1562551960313,179,107,50
1562551960349,180,107,50
1562551960383,181,107,50
1562551960411,182,107,50
1562551960444,183,107,50
1562551960491,184,107,50
1562551960524,185,107,50
1562551960576,186,107,50
1562551960604,187,107,50
1562551960655,188,107,50
1562551960687,189,107,50
1562551960730,190,107,50
1562551960763,191,107,50
1562551960795,192,107,50
1562551960845,193,107,50
1562551960874,194,107,50
1562551960920,195,107,50
1562551960956,196,107,50
1562551961002,197,107,50
1562551961036,198,107,50
1562551961068,199,107,50
1562551961130,200,107,50
1562551961165,201,107,50
1562551961198,202,107,50
1562551961235,203,107,50
1562551961276,204,107,50
1562551961308,205,107,50
1562551961338,206,107,50
1562551961389,207,107,50
1562551961421,208,107,50
1562551961466,209,107,50
1562551961500,210,107,50
1562551961549,211,107,50
1562551961581,212,107,50
1562551961613,213,107,50
1562551961661,214,107,50
1562551961693,215,107,50
1562551961740,216,107,50
1562551961772,217,107,50
1562551961819,218,107,50
1562551961853,219,107,50
1562551961889,220,107,50
1562551961946,221,107,50
1562551961978,222,107,50
1562551962013,223,107,50
1562551962045,224,107,50
1562551962095,225,107,50
1562551962126,226,107,50
1562551962158,227,107,50
1562551962210,228,107,50
1562551962241,229,107,50
1562551962284,230,107,50
1562551962318,231,107,50
1562551962368,232,107,50
1562551962402,233,107,50
1562551962443,234,107,50
1562551962481,235,107,50
1562551962513,236,107,50
1562551962558,237,107,50
1562551962592,238,107,50
1562551962636,239,107,50
1562551962669,240,107,50
1562551962703,241,107,50
1562551962755,242,107,50
1562551962793,243,107,50
1562551962830,244,107,50
1562551962861,245,107,50
1562551962909,246,107,50
1562551962941,247,107,50
1562551962987,248,107,50
1562551963021,249,107,50
1562551963054,250,107,50
1562551963101,251,107,50
1562551963135,252,107,50
1562551963180,253,107,50
1562551963210,254,107,50
1562551963260,255,107,50
1562551963293,256,107,50
1562551963332,257,107,50
1562551963376,258,107,50
1562551963409,259,107,50
1562551963453,260,107,50
1562551963487,261,107,50
1562551963550,262,107,50
1562551963584,263,107,50
1562551963613,264,107,50
1562551963648,265,107,50
1562551963676,266,107,50
1562551963722,267,107,50
1562551963758,268,107,50
1562551963807,269,107,50
1562551963838,270,107,50
1562551963875,271,107,50
1562551963922,272,107,50
1562551963954,273,107,50
1562551964000,274,107,50
1562551964041,275,107,50
1562551964080,276,107,50
1562551964113,277,107,50
1562551964148,278,107,50
1562551964192,279,107,50
1562551964225,280,107,50
1562551964270,281,107,50
1562551964304,282,107,50
1562551964362,283,107,50
1562551964398,284,107,50
1562551964434,285,107,50
1562551964463,286,107,50
1562551964496,287,107,50
1562551964545,288,107,50
1562551964576,289,107,50
1562551964622,290,107,50
1562551964655,291,107,50
1562551964704,292,107,50
1562551964735,293,107,50
1562551964769,294,107,50
1562551964818,295,107,50
1562551964851,296,107,50
1562551964895,297,107,50
1562551964926,298,107,50
1562551964977,299,107,50
1562551965009,300,107,50
1562551965037,301,107,50
1562551965085,302,107,50
1562551965122,303,107,50
1562551965181,304,107,50
1562551965219,305,107,50
1562551965249,306,107,50
1562551965283,307,107,50
1562551965316,308,107,50
1562551965358,309,107,50
1562551965390,310,107,50
1562551965444,311,107,50
1562551965474,312,107,50
1562551965522,313,107,50
1562551965551,314,107,50
1562551965587,315,107,50
1562551965633,316,107,50
1562551965663,317,107,50
1562551965713,318,107,50
1562551965747,319,107,50
1562551965790,320,107,50
1562551965824,321,107,50
1562551965857,322,107,50
1562551965904,323,107,50
1562551965937,324,107,50
1562551965997,325,107,50
1562551966028,326,107,50
1562551966063,327,107,50
1562551966095,328,107,50
1562551966128,329,107,50
1562551966177,330,107,50
1562551966213,331,107,50
1562551966255,332,107,50
1562551966289,333,107,50
1562551966336,334,107,50
1562551966367,335,107,50
1562551966417,336,107,50
1562551966452,337,107,50
1562551966480,338,107,50
1562551966526,339,107,50
1562551966559,340,107,50
1562551966610,341,107,50
1562551966642,342,107,50
1562551966690,343,107,50
1562551966721,344,107,50
1562551966767,345,107,50
1562551966820,346,107,50
1562551966847,347,107,50
1562551966879,348,107,50
1562551966916,349,107,50
1562551966956,350,107,50
1562551966991,351,107,50
1562551967025,352,107,50
1562551967072,353,107,50
1562551967103,354,107,50
1562551967154,355,107,50
1562551967189,356,107,50
1562551967231,357,107,50
1562551967263,358,107,50
1562551967296,359,107,50
1562551967347,360,107,50
1562551967378,361,107,50
1562551967421,362,107,50
1562551967457,363,107,50
1562551967503,364,107,50
1562551967535,365,107,50
1562551967587,366,107,50
1562551967635,367,107,50
