ts_micro,frame,btn,speed
1562543987453,1,107,50
1562543987653,2,107,50
1562543987853,3,107,50
1562543988053,4,107,50
1562543988253,5,107,50
1562543988453,6,107,50
1562543988653,7,107,50
1562543988853,8,107,50
1562543989053,9,107,50
1562543989253,10,107,50
1562543989453,11,107,50
1562543989653,12,107,50
1562543989853,13,107,50
1562543990053,14,107,50
1562543990253,15,107,50
1562543990453,16,107,50
1562543990653,17,107,50
1562543990853,18,107,50
1562543991053,19,107,50
1562543991253,20,107,50
1562543991453,21,107,50
1562543991653,22,107,50
1562543991853,23,107,50
1562543992053,24,107,50
1562543992253,25,107,50
1562543992453,26,107,50
1562543992654,27,107,50
1562543992853,28,107,50
1562543993053,29,107,50
1562543993253,30,107,50
1562543993453,31,107,50
1562543993653,32,107,50
1562543993853,33,107,50
1562543994053,34,107,50
1562543994253,35,107,50
1562543994453,36,107,50
1562543994653,37,107,50
1562543994853,38,107,50
1562543995053,39,107,50
1562543995253,40,107,50
1562543995453,41,107,50
1562543995653,42,107,50
1562543995853,43,107,50
1562543996053,44,107,50
1562543996253,45,107,50
1562543996453,46,107,50
1562543996653,47,107,50
1562543996853,48,107,50
1562543997053,49,107,50
1562543997253,50,107,50
1562543997453,51,107,50
1562543997653,52,107,50
1562543997853,53,107,50
1562543998053,54,107,50
1562543998253,55,107,50
1562543998453,56,107,50
1562543998653,57,107,50
1562543998853,58,107,50
1562543999053,59,107,50
1562543999253,60,107,50
1562543999453,61,107,50
1562543999653,62,107,50
1562543999853,63,107,50
1562544000053,64,107,50
1562544000253,65,107,50
1562544000453,66,107,50
1562544000653,67,107,50
1562544000853,68,107,50
1562544001053,69,107,50
1562544001253,70,107,50
1562544001453,71,107,50
1562544001653,72,107,50
1562544001853,73,107,50
1562544002053,74,107,50
1562544002253,75,107,50
1562544002453,76,107,50
1562544002653,77,107,50
1562544002853,78,107,50
1562544003053,79,107,50
1562544003253,80,107,50
1562544003453,81,107,50
1562544003653,82,107,50
1562544003853,83,107,50
1562544004053,84,107,50
1562544004253,85,107,50
1562544004453,86,107,50
1562544004653,87,107,50
1562544004853,88,107,50
1562544005053,89,107,50
1562544005253,90,107,50
1562544005453,91,107,50
1562544005653,92,107,50
1562544005853,93,107,50
1562544006053,94,107,50
1562544006253,95,107,50
1562544006453,96,107,50
1562544006653,97,107,50
1562544006853,98,107,50
1562544007053,99,107,50
1562544007253,100,107,50
1562544007453,101,107,50
1562544007653,102,107,50
1562544007853,103,107,50
1562544008053,104,107,50
1562544008253,105,107,50
1562544008453,106,107,50
1562544008653,107,107,50
1562544008853,108,107,50
1562544009053,109,107,50
1562544009253,110,107,50
1562544009453,111,107,50
1562544009653,112,107,50
1562544009853,113,107,50
1562544010053,114,107,50
1562544010253,115,107,50
1562544010453,116,107,50
1562544010653,117,107,50
1562544010853,118,107,50
1562544011053,119,107,50
1562544011253,120,107,50
1562544011453,121,107,50
1562544011653,122,107,50
1562544011853,123,107,50
1562544012053,124,107,50
1562544012253,125,107,50
1562544012453,126,107,50
1562544012653,127,107,50
1562544012853,128,107,50
1562544013053,129,107,50
1562544013253,130,107,50
1562544013453,131,107,50
1562544013653,132,107,50
1562544013853,133,107,50
1562544014053,134,107,50
1562544014253,135,107,50
1562544014453,136,107,50
1562544014653,137,107,50
1562544014853,138,107,50
1562544015053,139,107,50
1562544015253,140,107,50
1562544015453,141,107,50
1562544015653,142,107,50
1562544015853,143,107,50
1562544016053,144,107,50
1562544016253,145,107,50
1562544016453,146,107,50
1562544016653,147,107,50
1562544016853,148,107,50
1562544017053,149,107,50
1562544017253,150,107,50
1562544017453,151,107,50
1562544017653,152,107,50
1562544017853,153,107,50
1562544018053,154,107,50
1562544018253,155,107,50
1562544018453,156,107,50
1562544018653,157,107,50
1562544018853,158,107,50
1562544019053,159,107,50
1562544019253,160,107,50
1562544019453,161,107,50
1562544019653,162,107,50
1562544019853,163,107,50
1562544020053,164,107,50
1562544020253,165,107,50
1562544020453,166,107,50
1562544020653,167,107,50
1562544020853,168,107,50
1562544021053,169,107,50
1562544021253,170,107,50
1562544021453,171,107,50
1562544021653,172,107,50
1562544021853,173,107,50
1562544022053,174,107,50
1562544022253,175,107,50
1562544022453,176,107,50
1562544022653,177,107,50
1562544022853,178,107,50
1562544023053,179,107,50
1562544023253,180,107,50
1562544023453,181,107,50
1562544023653,182,107,50
1562544023853,183,107,50
1562544024053,184,107,50
1562544024253,185,107,50
1562544024453,186,107,50
1562544024653,187,107,50
1562544024853,188,107,50
1562544025053,189,107,50
1562544025253,190,107,50
1562544025453,191,107,50
1562544025653,192,107,50
1562544025853,193,107,50
1562544026053,194,107,50
1562544026253,195,107,50
1562544026453,196,107,50
1562544026653,197,107,50
1562544026853,198,107,50
1562544027053,199,107,50
1562544027253,200,107,50
1562544027453,201,107,50
1562544027653,202,107,50
1562544027853,203,107,50
1562544028053,204,107,50
1562544028253,205,107,50
1562544028453,206,107,50
1562544028653,207,107,50
1562544028853,208,107,50
1562544029053,209,107,50
1562544029253,210,107,50
1562544029453,211,107,50
1562544029653,212,107,50
1562544029853,213,107,50
1562544030053,214,107,50
1562544030253,215,107,50
1562544030453,216,107,50
1562544030653,217,107,50
1562544030853,218,107,50
1562544031053,219,107,50
1562544031253,220,107,50
1562544031453,221,107,50
1562544031653,222,107,50
1562544031853,223,107,50
1562544032053,224,107,50
1562544032253,225,107,50
1562544032453,226,107,50
1562544032653,227,107,50
1562544032853,228,107,50
1562544033053,229,107,50
1562544033253,230,107,50
1562544033453,231,107,50
1562544033653,232,107,50
1562544033853,233,107,50
1562544034053,234,107,50
1562544034253,235,107,50
1562544034453,236,107,50
1562544034653,237,107,50
1562544034853,238,107,50
1562544035053,239,107,50
1562544035253,240,107,50
1562544035453,241,107,50
1562544035653,242,107,50
1562544035853,243,107,50
1562544036053,244,107,50
1562544036253,245,107,50
1562544036453,246,107,50
1562544036653,247,107,50
1562544036853,248,107,50
1562544037053,249,107,50
1562544037253,250,107,50
1562544037453,251,107,50
1562544037653,252,107,50
1562544037853,253,107,50
1562544038053,254,107,50
1562544038253,255,107,50
1562544038453,256,107,50
1562544038653,257,107,50
1562544038853,258,107,50
1562544039053,259,107,50
1562544039253,260,107,50
1562544039453,261,107,50
1562544039653,262,107,50
1562544039853,263,107,50
1562544040053,264,107,50
1562544040253,265,107,50
1562544040453,266,107,50
1562544040653,267,107,50
1562544040853,268,107,50
1562544041053,269,107,50
1562544041253,270,107,50
1562544041453,271,107,50
1562544041653,272,107,50
1562544041853,273,107,50
1562544042053,274,107,50
1562544042253,275,107,50
1562544042453,276,107,50
1562544042653,277,107,50
1562544042853,278,107,50
1562544043053,279,107,50
1562544043253,280,107,50
1562544043453,281,107,50
1562544043653,282,107,50
1562544043853,283,107,50
1562544044053,284,107,50
1562544044253,285,107,50
1562544044453,286,107,50
1562544044653,287,107,50
1562544044853,288,107,50
1562544045053,289,107,50
1562544045253,290,107,50
1562544045453,291,107,50
1562544045653,292,107,50
1562544045853,293,107,50
1562544046053,294,107,50
1562544046253,295,107,50
1562544046453,296,107,50
1562544046653,297,107,50
1562544046853,298,107,50
1562544047053,299,107,50
1562544047253,300,107,50
1562544047453,301,107,50
1562544047653,302,107,50
1562544047853,303,107,50
1562544048053,304,107,50
1562544048253,305,107,50
1562544048453,306,107,50
1562544048653,307,107,50
1562544048853,308,107,50
1562544049053,309,107,50
1562544049253,310,107,50
1562544049453,311,107,50
1562544049653,312,107,50
1562544049853,313,107,50
1562544050053,314,107,50
1562544050253,315,107,50
1562544050453,316,107,50
1562544050654,317,107,50
1562544050853,318,107,50
1562544051053,319,107,50
1562544051253,320,107,50
1562544051453,321,107,50
1562544051653,322,107,50
1562544051853,323,107,50
1562544052053,324,107,50
1562544052253,325,107,50
1562544052453,326,107,50
1562544052654,327,107,50
1562544052853,328,107,50
1562544053053,329,107,50
1562544053253,330,107,50
1562544053453,331,107,50
1562544053653,332,107,50
1562544053853,333,107,50
1562544054053,334,107,50
1562544054253,335,107,50
1562544054453,336,107,50
1562544054653,337,107,50
1562544054853,338,107,50
1562544055053,339,107,50
1562544055253,340,107,50
1562544055453,341,107,50
1562544055653,342,107,50
1562544055853,343,107,50
1562544056053,344,107,50
1562544056253,345,107,50
1562544056453,346,107,50
1562544056653,347,107,50
1562544056853,348,107,50
1562544057053,349,107,50
1562544057253,350,107,50
1562544057453,351,107,50
1562544057653,352,107,50
1562544057853,353,107,50
1562544058053,354,107,50
1562544058253,355,107,50
1562544058453,356,107,50
1562544058653,357,107,50
1562544058853,358,107,50
1562544059053,359,107,50
1562544059253,360,107,50
1562544059453,361,107,50
1562544059653,362,107,50
1562544059853,363,107,50
1562544060053,364,107,50
1562544060253,365,107,50
