ts_micro,frame,btn,speed
1562627960849,1,107,50
1562627960887,2,107,50
1562627960915,3,107,50
1562627960935,4,107,50
1562627960955,5,107,50
1562627960974,6,107,50
1562627960999,7,107,50
1562627961024,8,107,50
1562627961049,9,107,50
1562627961074,10,107,50
1562627961099,11,107,50
1562627961124,12,107,50
1562627961149,13,107,50
1562627961175,14,107,50
1562627961199,15,107,50
1562627961224,16,107,50
1562627961249,17,107,50
1562627961274,18,107,50
1562627961299,19,107,50
1562627961324,20,107,50
1562627961349,21,107,50
1562627961374,22,107,50
1562627961399,23,107,50
1562627961424,24,107,50
1562627961449,25,107,50
1562627961474,26,107,50
1562627961499,27,107,50
1562627961525,28,107,50
1562627961549,29,107,50
1562627961574,30,107,50
1562627961599,31,107,50
1562627961624,32,107,50
1562627961649,33,107,50
1562627961674,34,107,50
1562627961699,35,107,50
1562627961742,36,107,50
1562627961773,37,107,50
1562627961824,38,107,50
1562627961854,39,107,50
1562627961898,40,107,50
1562627961931,41,107,50
1562627961974,42,107,50
1562627962020,43,107,50
1562627962052,44,107,50
1562627962098,45,107,50
1562627962129,46,107,50
1562627962178,47,107,50
1562627962209,48,107,50
1562627962256,49,107,50
1562627962287,50,107,50
1562627962323,51,107,50
1562627962378,52,107,50
1562627962422,53,107,50
1562627962464,54,107,50
1562627962491,55,107,50
1562627962527,56,107,50
1562627962561,57,107,50
1562627962593,58,107,50
1562627962639,59,107,50
1562627962674,60,107,50
1562627962717,61,107,50
1562627962752,62,107,50
1562627962801,63,107,50
1562627962834,64,107,50
1562627962865,65,107,50
1562627962912,66,107,50
1562627962948,67,107,50
1562627962992,68,107,50
1562627963025,69,107,50
1562627963073,70,107,50
1562627963105,71,107,50
1562627963138,72,107,50
1562627963187,73,107,50
1562627963225,74,107,50
1562627963273,75,107,50
1562627963296,76,107,50
1562627963346,77,107,50
1562627963379,78,107,50
1562627963425,79,107,50
1562627963456,80,107,50
1562627963490,81,107,50
1562627963538,82,107,50
1562627963570,83,107,50
1562627963616,84,107,50
1562627963656,85,107,50
1562627963693,86,107,50
1562627963730,87,107,50
1562627963762,88,107,50
1562627963812,89,107,50
1562627963845,90,107,50
1562627963899,91,107,50
1562627963930,92,107,50
1562627963968,93,107,50
1562627964017,94,107,50
1562627964057,95,107,50
1562627964088,96,107,50
1562627964117,97,107,50
1562627964157,98,107,50
1562627964195,99,107,50
1562627964243,100,107,50
1562627964274,101,107,50
1562627964307,102,107,50
1562627964357,103,107,50
1562627964388,104,107,50
1562627964433,105,107,50
1562627964467,106,107,50
1562627964514,107,107,50
1562627964547,108,107,50
1562627964580,109,107,50
1562627964622,110,107,50
1562627964658,111,107,50
1562627964709,112,107,50
1562627964741,113,107,50
1562627964797,114,107,50
1562627964832,115,107,50
1562627964882,116,107,50
1562627964902,117,107,50
1562627964927,118,107,50
1562627964978,119,107,50
1562627965012,120,107,50
1562627965058,121,107,50
1562627965087,122,107,50
1562627965124,123,107,50
1562627965172,124,107,50
1562627965202,125,107,50
1562627965256,126,107,50
1562627965285,127,107,50
1562627965330,128,107,50
1562627965362,129,107,50
1562627965410,130,107,50
1562627965443,131,107,50
1562627965476,132,107,50
1562627965525,133,107,50
1562627965552,134,107,50
1562627965619,135,107,50
1562627965651,136,107,50
1562627965694,137,107,50
1562627965716,138,107,50
1562627965750,139,107,50
1562627965792,140,107,50
1562627965826,141,107,50
1562627965875,142,107,50
1562627965905,143,107,50
1562627965953,144,107,50
1562627965986,145,107,50
1562627966017,146,107,50
1562627966064,147,107,50
1562627966099,148,107,50
1562627966150,149,107,50
1562627966181,150,107,50
1562627966226,151,107,50
1562627966261,152,107,50
1562627966307,153,107,50
1562627966339,154,107,50
1562627966365,155,107,50
1562627966448,156,107,50
1562627966490,157,107,50
1562627966509,158,107,50
1562627966525,159,107,50
1562627966581,160,107,50
1562627966615,161,107,50
1562627966644,162,107,50
1562627966693,163,107,50
1562627966727,164,107,50
1562627966773,165,107,50
1562627966810,166,107,50
1562627966853,167,107,50
1562627966888,168,107,50
1562627966936,169,107,50
1562627966963,170,107,50
1562627966998,171,107,50
1562627967044,172,107,50
1562627967074,173,107,50
1562627967125,174,107,50
1562627967157,175,107,50
1562627967206,176,107,50
1562627967240,177,107,50
1562627967272,178,107,50
1562627967316,179,107,50
1562627967347,180,107,50
1562627967394,181,107,50
1562627967425,182,107,50
1562627967474,183,107,50
1562627967508,184,107,50
1562627967541,185,107,50
1562627967588,186,107,50
1562627967622,187,107,50
1562627967666,188,107,50
1562627967701,189,107,50
1562627967747,190,107,50
1562627967779,191,107,50
1562627967813,192,107,50
1562627967861,193,107,50
1562627967890,194,107,50
1562627967956,195,107,50
1562627967988,196,107,50
1562627968022,197,107,50
1562627968052,198,107,50
1562627968085,199,107,50
1562627968132,200,107,50
1562627968165,201,107,50
1562627968214,202,107,50
1562627968247,203,107,50
1562627968293,204,107,50
1562627968324,205,107,50
1562627968353,206,107,50
1562627968404,207,107,50
1562627968436,208,107,50
1562627968483,209,107,50
1562627968517,210,107,50
1562627968563,211,107,50
1562627968596,212,107,50
1562627968628,213,107,50
1562627968677,214,107,50
1562627968710,215,107,50
1562627968761,216,107,50
1562627968806,217,107,50
1562627968833,218,107,50
1562627968872,219,107,50
1562627968903,220,107,50
1562627968950,221,107,50
1562627968980,222,107,50
1562627969028,223,107,50
1562627969060,224,107,50
1562627969110,225,107,50
1562627969144,226,107,50
1562627969189,227,107,50
1562627969219,228,107,50
1562627969251,229,107,50
1562627969297,230,107,50
1562627969334,231,107,50
1562627969382,232,107,50
1562627969416,233,107,50
1562627969460,234,107,50
1562627969492,235,107,50
1562627969557,236,107,50
1562627969593,237,107,50
1562627969626,238,107,50
1562627969655,239,107,50
1562627969688,240,107,50
1562627969731,241,107,50
1562627969762,242,107,50
1562627969814,243,107,50
1562627969845,244,107,50
1562627969879,245,107,50
1562627969925,246,107,50
1562627969957,247,107,50
1562627970005,248,107,50
1562627970037,249,107,50
1562627970085,250,107,50
1562627970117,251,107,50
1562627970152,252,107,50
1562627970197,253,107,50
1562627970228,254,107,50
1562627970279,255,107,50
1562627970312,256,107,50
1562627970375,257,107,50
1562627970409,258,107,50
1562627970434,259,107,50
1562627970463,260,107,50
1562627970500,261,107,50
1562627970553,262,107,50
1562627970586,263,107,50
1562627970629,264,107,50
1562627970661,265,107,50
1562627970691,266,107,50
1562627970742,267,107,50
1562627970775,268,107,50
1562627970824,269,107,50
1562627970860,270,107,50
1562627970900,271,107,50
1562627970932,272,107,50
1562627970984,273,107,50
1562627971017,274,107,50
1562627971048,275,107,50
1562627971093,276,107,50
1562627971127,277,107,50
1562627971185,278,107,50
1562627971223,279,107,50
1562627971253,280,107,50
1562627971287,281,107,50
1562627971322,282,107,50
1562627971365,283,107,50
1562627971398,284,107,50
1562627971445,285,107,50
1562627971478,286,107,50
1562627971532,287,107,50
1562627971558,288,107,50
1562627971590,289,107,50
1562627971633,290,107,50
1562627971670,291,107,50
1562627971723,292,107,50
1562627971752,293,107,50
1562627971797,294,107,50
1562627971831,295,107,50
1562627971862,296,107,50
1562627971910,297,107,50
1562627971944,298,107,50
1562627972004,299,107,50
1562627972043,300,107,50
1562627972071,301,107,50
1562627972099,302,107,50
1562627972151,303,107,50
1562627972181,304,107,50
1562627972217,305,107,50
1562627972263,306,107,50
1562627972296,307,107,50
1562627972344,308,107,50
1562627972380,309,107,50
1562627972421,310,107,50
1562627972455,311,107,50
1562627972497,312,107,50
1562627972537,313,107,50
1562627972569,314,107,50
1562627972612,315,107,50
1562627972651,316,107,50
1562627972694,317,107,50
1562627972729,318,107,50
1562627972786,319,107,50
1562627972832,320,107,50
1562627972857,321,107,50
1562627972886,322,107,50
1562627972919,323,107,50
1562627972967,324,107,50
1562627973001,325,107,50
1562627973029,326,107,50
1562627973083,327,107,50
1562627973114,328,107,50
1562627973160,329,107,50
1562627973192,330,107,50
1562627973241,331,107,50
1562627973273,332,107,50
1562627973305,333,107,50
1562627973352,334,107,50
1562627973387,335,107,50
1562627973431,336,107,50
1562627973463,337,107,50
1562627973509,338,107,50
1562627973546,339,107,50
1562627973595,340,107,50
1562627973643,341,107,50
1562627973668,342,107,50
1562627973705,343,107,50
1562627973735,344,107,50
1562627973780,345,107,50
1562627973815,346,107,50
1562627973863,347,107,50
1562627973895,348,107,50
1562627973928,349,107,50
1562627973973,350,107,50
1562627974008,351,107,50
1562627974055,352,107,50
1562627974091,353,107,50
1562627974141,354,107,50
1562627974167,355,107,50
1562627974194,356,107,50
1562627974245,357,107,50
1562627974279,358,107,50
1562627974327,359,107,50
1562627974361,360,107,50
1562627974425,361,107,50
1562627974455,362,107,50
1562627974490,363,107,50
1562627974521,364,107,50
1562627974552,365,107,50
1562627974599,366,107,50
1562627974631,367,107,50
1562627974678,368,107,50
