ts_micro,frame,wheel
1562543987453,1,127
1562543987653,2,127
1562543987853,3,119
1562543988053,4,128
1562543988253,5,139
1562543988453,6,128
1562543988653,7,124
1562543988853,8,134
1562543989053,9,126
1562543989253,10,123
1562543989453,11,119
1562543989653,12,126
1562543989853,13,127
1562543990053,14,114
1562543990253,15,128
1562543990453,16,129
1562543990653,17,123
1562543990853,18,123
1562543991053,19,143
1562543991253,20,129
1562543991453,21,124
1562543991653,22,130
1562543991853,23,125
1562543992053,24,121
1562543992253,25,121
1562543992453,26,127
1562543992654,27,127
1562543992853,28,118
1562543993053,29,128
1562543993253,30,137
1562543993453,31,126
1562543993653,32,123
1562543993853,33,138
1562543994053,34,125
1562543994253,35,123
1562543994453,36,125
1562543994653,37,126
1562543994853,38,125
1562543995053,39,115
1562543995253,40,126
1562543995453,41,129
1562543995653,42,122
1562543995853,43,124
1562543996053,44,143
1562543996253,45,130
1562543996453,46,124
1562543996653,47,132
1562543996853,48,126
1562543997053,49,122
1562543997253,50,117
1562543997453,51,125
1562543997653,52,127
1562543997853,53,115
1562543998053,54,127
1562543998253,55,131
1562543998453,56,125
1562543998653,57,123
1562543998853,58,139
1562543999053,59,126
1562543999253,60,121
1562543999453,61,126
1562543999653,62,125
1562543999853,63,124
1562544000053,64,112
1562544000253,65,126
1562544000453,66,127
1562544000653,67,120
1562544000853,68,124
1562544001053,69,142
1562544001253,70,130
1562544001453,71,123
1562544001653,72,134
1562544001853,73,124
1562544002053,74,122
1562544002253,75,121
1562544002453,76,125
1562544002653,77,127
1562544002853,78,115
1562544003053,79,127
1562544003253,80,130
1562544003453,81,125
1562544003653,82,123
1562544003853,83,141
1562544004053,84,125
1562544004253,85,123
1562544004453,86,128
1562544004653,87,125
1562544004853,88,122
1562544005053,89,116
1562544005253,90,126
1562544005453,91,127
1562544005653,92,122
1562544005853,93,123
1562544006053,94,144
1562544006253,95,128
1562544006453,96,124
1562544006653,97,133
1562544006853,98,125
1562544007053,99,122
1562544007253,100,122
1562544007453,101,125
1562544007653,102,126
1562544007853,103,117
1562544008053,104,127
1562544008253,105,137
1562544008453,106,125
1562544008653,107,123
1562544008853,108,139
1562544009053,109,124
1562544009253,110,124
1562544009453,111,124
1562544009653,112,125
1562544009853,113,127
1562544010053,114,114
1562544010253,115,126
1562544010453,116,130
1562544010653,117,123
1562544010853,118,123
1562544011053,119,144
1562544011253,120,128
1562544011453,121,123
1562544011653,122,133
1562544011853,123,125
1562544012053,124,122
1562544012253,125,122
1562544012453,126,125
1562544012653,127,127
1562544012853,128,117
1562544013053,129,128
1562544013253,130,133
1562544013453,131,124
1562544013653,132,123
1562544013853,133,141
1562544014053,134,124
1562544014253,135,122
1562544014453,136,125
1562544014653,137,125
1562544014853,138,123
1562544015053,139,113
1562544015253,140,126
1562544015453,141,126
1562544015653,142,119
1562544015853,143,125
1562544016053,144,142
1562544016253,145,128
1562544016453,146,124
1562544016653,147,135
1562544016853,148,125
1562544017053,149,122
1562544017253,150,122
1562544017453,151,125
1562544017653,152,127
1562544017853,153,114
1562544018053,154,126
1562544018253,155,131
1562544018453,156,122
1562544018653,157,123
1562544018853,158,143
1562544019053,159,126
1562544019253,160,123
1562544019453,161,130
1562544019653,162,124
1562544019853,163,120
1562544020053,164,111
1562544020253,165,125
1562544020453,166,129
1562544020653,167,117
1562544020853,168,127
1562544021053,169,138
1562544021253,170,126
1562544021453,171,123
1562544021653,172,139
1562544021853,173,124
1562544022053,174,124
1562544022253,175,121
1562544022453,176,125
1562544022653,177,128
1562544022853,178,113
1562544023053,179,126
1562544023253,180,129
1562544023453,181,122
1562544023653,182,123
1562544023853,183,143
1562544024053,184,125
1562544024253,185,123
1562544024453,186,126
1562544024653,187,125
1562544024853,188,122
1562544025053,189,112
1562544025253,190,125
1562544025453,191,129
1562544025653,192,118
1562544025853,193,125
1562544026053,194,145
1562544026253,195,128
1562544026453,196,124
1562544026653,197,131
1562544026853,198,124
1562544027053,199,124
1562544027253,200,122
1562544027453,201,125
1562544027653,202,129
1562544027853,203,117
1562544028053,204,128
1562544028253,205,146
1562544028453,206,126
1562544028653,207,124
1562544028853,208,135
1562544029053,209,124
1562544029253,210,124
1562544029453,211,118
1562544029653,212,125
1562544029853,213,128
1562544030053,214,112
1562544030253,215,127
1562544030453,216,135
1562544030653,217,124
1562544030853,218,123
1562544031053,219,137
1562544031253,220,125
1562544031453,221,125
1562544031653,222,123
1562544031853,223,125
1562544032053,224,128
1562544032253,225,111
1562544032453,226,127
1562544032653,227,135
1562544032853,228,123
1562544033053,229,123
1562544033253,230,139
1562544033453,231,125
1562544033653,232,125
1562544033853,233,125
