ts_micro,frame,wheel
1562625277649,1,125
1562625277680,2,124
1562625277702,3,124
1562625277724,4,124
1562625277749,5,124
1562625277774,6,124
1562625277799,7,124
1562625277824,8,124
1562625277849,9,124
1562625277874,10,124
1562625277899,11,125
1562625277924,12,125
1562625277949,13,125
1562625277974,14,125
1562625277999,15,124
1562625278024,16,124
1562625278049,17,124
1562625278074,18,124
1562625278099,19,124
1562625278124,20,124
1562625278149,21,124
1562625278176,22,124
1562625278199,23,124
1562625278224,24,124
1562625278249,25,125
1562625278275,26,125
1562625278299,27,125
1562625278325,28,125
1562625278349,29,124
1562625278374,30,124
1562625278399,31,124
1562625278424,32,124
1562625278449,33,124
1562625278474,34,124
1562625278499,35,124
1562625278524,36,124
1562625278561,37,124
1562625278594,38,125
1562625278631,39,125
1562625278660,40,125
1562625278709,41,125
1562625278742,42,124
1562625278787,43,124
1562625278825,44,124
1562625278861,45,125
1562625278902,46,124
1562625278936,47,124
1562625278988,48,124
1562625279022,49,124
1562625279058,50,124
1562625279094,51,124
1562625279128,52,125
1562625279181,53,125
1562625279207,54,125
1562625279252,55,125
1562625279292,56,129
1562625279355,57,162
1562625279392,58,199
1562625279416,59,201
1562625279451,60,201
1562625279483,61,203
1562625279525,62,203
1562625279562,63,202
1562625279609,64,203
1562625279641,65,203
1562625279670,66,201
1562625279731,67,200
1562625279758,68,201
1562625279798,69,191
1562625279830,70,180
1562625279881,71,179
1562625279914,72,174
1562625279962,73,156
1562625279991,74,134
1562625280025,75,126
1562625280069,76,125
1562625280121,77,125
1562625280180,78,125
1562625280215,79,127
1562625280232,80,128
1562625280260,81,127
1562625280295,82,130
1562625280345,83,145
1562625280377,84,169
1562625280424,85,188
1562625280454,86,196
1562625280501,87,199
1562625280534,88,200
1562625280566,89,200
1562625280619,90,199
1562625280653,91,197
1562625280697,92,191
1562625280735,93,171
1562625280774,94,126
1562625280807,95,125
1562625280840,96,125
1562625280896,97,124
1562625280927,98,124
1562625280990,99,124
1562625281022,100,124
1562625281049,101,124
1562625281080,102,124
1562625281112,103,124
1562625281160,104,124
1562625281191,105,124
1562625281237,106,124
1562625281270,107,125
1562625281319,108,125
1562625281352,109,130
1562625281381,110,148
1562625281431,111,169
1562625281463,112,186
1562625281510,113,198
1562625281543,114,201
1562625281591,115,201
1562625281624,116,196
1562625281662,117,189
1562625281702,118,180
1562625281739,119,174
1562625281807,120,171
1562625281837,121,171
1562625281860,122,171
1562625281896,123,166
1562625281928,124,154
1562625281978,125,145
1562625282009,126,142
1562625282057,127,139
1562625282093,128,139
1562625282136,129,145
1562625282173,130,151
1562625282215,131,150
1562625282248,132,142
1562625282280,133,132
1562625282325,134,128
1562625282363,135,125
1562625282410,136,124
1562625282441,137,125
1562625282491,138,124
1562625282524,139,124
1562625282570,140,124
1562625282616,141,124
1562625282645,142,124
1562625282675,143,124
1562625282714,144,124
