ts_micro,frame,wheel
1562625783636,1,169
1562625783673,2,164
1562625783705,3,161
1562625783733,4,147
1562625783762,5,123
1562625783790,6,114
1562625783800,7,111
1562625783811,8,111
1562625783836,9,116
1562625783861,10,124
1562625783887,11,124
1562625783911,12,128
1562625783936,13,134
1562625783961,14,136
1562625783986,15,139
1562625784012,16,144
1562625784037,17,148
1562625784061,18,150
1562625784086,19,152
1562625784111,20,155
1562625784136,21,158
1562625784161,22,160
1562625784186,23,159
1562625784211,24,161
1562625784236,25,163
1562625784261,26,163
1562625784287,27,163
1562625784312,28,169
1562625784336,29,180
1562625784361,30,190
1562625784386,31,200
1562625784412,32,201
1562625784436,33,201
1562625784461,34,201
1562625784499,35,203
1562625784531,36,201
1562625784577,37,202
1562625784607,38,202
1562625784642,39,203
1562625784686,40,202
1562625784733,41,202
1562625784771,42,203
1562625784803,43,203
1562625784849,44,200
1562625784883,45,201
1562625784915,46,201
1562625784961,47,200
1562625784995,48,200
1562625785043,49,200
1562625785072,50,193
1562625785118,51,183
1562625785157,52,168
1562625785213,53,150
1562625785250,54,137
1562625785281,55,132
1562625785315,56,133
1562625785347,57,125
1562625785396,58,124
1562625785430,59,124
1562625785460,60,124
1562625785508,61,124
1562625785536,62,124
1562625785587,63,124
1562625785621,64,125
1562625785672,65,125
1562625785702,66,125
1562625785748,67,125
1562625785783,68,124
1562625785815,69,124
1562625785861,70,124
1562625785897,71,124
1562625785944,72,124
1562625785976,73,124
1562625786010,74,124
1562625786083,75,124
1562625786115,76,123
1562625786133,77,125
1562625786161,78,125
1562625786215,79,125
1562625786247,80,127
1562625786290,81,126
1562625786324,82,128
1562625786357,83,131
1562625786405,84,134
1562625786437,85,137
1562625786479,86,139
1562625786520,87,142
1562625786565,88,144
1562625786596,89,145
1562625786631,90,147
1562625786680,91,147
1562625786711,92,147
1562625786754,93,144
1562625786792,94,145
1562625786853,95,151
1562625786890,96,158
1562625786926,97,162
1562625786949,98,169
1562625786983,99,172
1562625787026,100,174
1562625787060,101,175
1562625787111,102,175
1562625787142,103,183
1562625787191,104,185
1562625787225,105,186
1562625787256,106,190
1562625787300,107,196
1562625787332,108,197
1562625787386,109,199
1562625787411,110,201
1562625787460,111,201
1562625787492,112,203
1562625787525,113,201
1562625787574,114,201
1562625787606,115,201
1562625787658,116,201
1562625787706,117,201
1562625787736,118,200
1562625787764,119,201
1562625787814,120,200
1562625787846,121,196
1562625787876,122,186
1562625787926,123,168
1562625787959,124,150
1562625788004,125,137
1562625788036,126,134
1562625788092,127,130
1562625788120,128,125
1562625788152,129,126
1562625788198,130,125
1562625788229,131,125
1562625788278,132,125
1562625788311,133,125
1562625788355,134,125
1562625788390,135,125
1562625788425,136,125
1562625788485,137,128
1562625788525,138,130
1562625788558,139,134
1562625788584,140,139
1562625788634,141,145
1562625788663,142,150
1562625788694,143,151
1562625788743,144,155
1562625788775,145,163
1562625788820,146,168
1562625788857,147,171
1562625788899,148,174
1562625788933,149,174
1562625788966,150,176
1562625789016,151,175
1562625789046,152,175
1562625789097,153,179
1562625789128,154,181
1562625789171,155,188
1562625789211,156,193
1562625789245,157,193
1562625789293,158,193
1562625789451,159,196
1562625789465,160,197
1562625789476,161,193
1562625789493,162,188
1562625789502,163,184
1562625789521,164,179
1562625789557,165,179
1562625789591,166,175
1562625789636,167,166
1562625789669,168,160
1562625789717,169,160
1562625789747,170,158
1562625789797,171,158
1562625789829,172,161
1562625789862,173,165
1562625789909,174,164
1562625789941,175,164
1562625789991,176,165
1562625790024,177,165
1562625790087,178,163
1562625790121,179,158
1562625790154,180,160
1562625790181,181,161
1562625790211,182,159
1562625790267,183,160
1562625790294,184,158
1562625790340,185,153
1562625790374,186,147
1562625790422,187,145
1562625790455,188,142
1562625790486,189,139
